t,count,mean_rate,m1_rate
1500460463,36,0.011920529801324504,0.0
1500460473,315,0.10396039603960396,4.65
1500460483,673,0.22138157894736843,10.616666666666667
1500460492,1056,0.3463430632994424,17.0
1500460502,1526,0.4988558352402746,24.833333333333332
1500460512,2024,0.6594982078853047,33.13333333333333
1500460522,2336,0.7586878856771679,38.333333333333336
1500460531,2800,0.9067357512953368,41.416666666666664
1500460541,3931,1.2688831504196256,54.3
1500460551,4770,1.5347490347490347,61.9
1500460561,5471,1.754650416933932,65.75
1500460571,6079,1.9434143222506395,67.58333333333333
1500460580,6638,2.1160344277972585,71.7
1500460590,7348,2.334922148077534,75.8
1500460600,8185,2.5926512511878363,70.9
1500460610,9342,2.949794758446479,76.2
1500460620,10282,3.2363865281712307,80.18333333333334
1500460629,11412,3.5819209039548023,88.88333333333334
1500460639,12577,3.9352315394242803,98.98333333333333
1500460649,13018,4.060511540860886,94.5
1500460659,13018,4.047885572139304,80.55
1500460669,13728,4.255424674519529,73.1
1500460678,14960,4.624420401854714,77.96666666666667
1500460688,16026,4.938674884437597,76.9
1500460698,17034,5.233179723502304,74.28333333333333
1500460708,18283,5.59969372128637,87.75
1500460718,19560,5.972519083969465,109.03333333333333
1500460727,20567,6.26278928136419,113.98333333333333
1500460737,21850,6.633272616879174,114.83333333333333
1500460747,23119,6.99727602905569,118.21666666666667
1500460757,24857,7.50060350030175,130.38333333333333
1500460767,26189,7.878760529482551,131.76666666666668
1500460776,27662,8.2994299429943,135.03333333333333
1500460786,28868,8.635357463356266,138.35
1500460796,30083,8.971965404115718,137.21666666666667
1500460806,31452,9.352363960749331,138.88333333333333
1500460816,33415,9.906611325229767,142.63333333333333
1500460825,35201,10.408338261383797,150.2
1500460835,37229,10.975530660377359,159.45
1500460845,38686,11.371546149323928,163.63333333333333
1500460855,38689,11.339097303634231,143.43333333333334
1500460865,39614,11.576271186440678,136.03333333333333
1500460874,41192,12.005829204313612,129.61666666666667
1500460884,42918,12.472537053182215,128.61666666666667
1500460894,44396,12.864676905244856,119.45
1500460904,46048,13.304825195030338,122.7
1500460914,47527,13.69259579371939,147.3
1500460923,49159,14.126149425287357,159.08333333333334
1500460933,51008,14.615472779369627,163.6
1500460943,52334,14.952571428571428,156.93333333333334
1500460953,54180,15.435897435897436,163.06666666666666
1500460962,55461,15.760443307757885,156.88333333333333
1500460972,56920,16.129215075092095,156.55
1500460982,58438,16.512574173495338,154.65
1500460992,60143,16.94646379261764,152.25
1500461002,61704,17.33745434110705,156.16666666666666
1500461011,63273,17.733464125560538,151.55
1500461021,64991,18.164058133035216,158.83333333333334
1500461031,66516,18.53846153846154,159.93333333333334
1500461041,68311,18.985825458588103,164.55
1500461051,68713,19.04462305986696,142.83333333333334
1500461060,69705,19.271495714680675,133.35
1500461070,71520,19.718775847808107,137.45
1500461080,73512,20.21226285400055,142.01666666666668
1500461090,75187,20.616122840690977,144.51666666666668
1500461099,76791,21.00410284463895,141.33333333333334
1500461109,78044,21.2885979268958,155.51666666666668
1500461119,79467,21.617791077257888,162.7
1500461129,81303,22.05724362452523,163.05
